Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0418868	Src3	0	1	LastDelay	0.0417728	41772.8	1	2
0.0418868	Src3	0	1	FullDelay	0.0417728	41772.8	1	2
0.0427436	Src3	0	2	LastDelay	0.0421005	42100.5	1	2
0.0427436	Src3	0	2	FullDelay	0.0421005	42100.5	1	2
0.0429594	Src4	0	1	LastDelay	0.0417728	41772.8	1	2
0.0429594	Src4	0	1	FullDelay	0.0417728	41772.8	1	2
0.0433504	Src5	0	1	LastDelay	0.0417728	41772.8	1	2
0.0433504	Src5	0	1	FullDelay	0.0417728	41772.8	1	2
0.0436004	Src3	0	3	LastDelay	0.0427473	42747.3	1	2
0.0436004	Src3	0	3	FullDelay	0.0427473	42747.3	1	2
0.0438162	Src4	0	2	LastDelay	0.0421234	42123.4	1	2
0.0438162	Src4	0	2	FullDelay	0.0421234	42123.4	1	2
0.0442072	Src5	0	2	LastDelay	0.0423225	42322.5	1	2
0.0442072	Src5	0	2	FullDelay	0.0423225	42322.5	1	2
0.0444572	Src3	0	4	LastDelay	0.0431003	43100.3	1	2
0.0444572	Src3	0	4	FullDelay	0.0431003	43100.3	1	2
0.044673	Src4	0	3	LastDelay	0.0425581	42558.1	1	2
0.044673	Src4	0	3	FullDelay	0.0425581	42558.1	1	2
0.045064	Src5	0	3	LastDelay	0.042884	42884	1	2
0.045064	Src5	0	3	FullDelay	0.042884	42884	1	2
0.045314	Src3	0	5	LastDelay	0.0438517	43851.7	1	2
0.045314	Src3	0	5	FullDelay	0.0438517	43851.7	1	2
0.0455298	Src4	0	4	LastDelay	0.0425484	42548.4	1	2
0.0455298	Src4	0	4	FullDelay	0.0425484	42548.4	1	2
0.0459208	Src5	0	4	LastDelay	0.0421051	42105.1	1	2
0.0459208	Src5	0	4	FullDelay	0.0421051	42105.1	1	2
0.0461708	Src3	0	6	LastDelay	0.0440763	44076.3	1	2
0.0461708	Src3	0	6	FullDelay	0.0440763	44076.3	1	2
0.0463866	Src4	0	5	LastDelay	0.0419067	41906.7	1	2
0.0463866	Src4	0	5	FullDelay	0.0419067	41906.7	1	2
0.0470276	Src3	0	7	LastDelay	0.0433984	43398.4	1	2
0.0470276	Src3	0	7	FullDelay	0.0433984	43398.4	1	2
0.0471196	Src5	0	5	LastDelay	0.0417728	41772.8	1	2
0.0471196	Src5	0	5	FullDelay	0.0417728	41772.8	1	2
0.0472434	Src4	0	6	LastDelay	0.0421686	42168.6	1	2
0.0472434	Src4	0	6	FullDelay	0.0421686	42168.6	1	2
0.0478844	Src3	0	8	LastDelay	0.0425074	42507.4	1	2
0.0478844	Src3	0	8	FullDelay	0.0425074	42507.4	1	2
0.0479764	Src5	0	6	LastDelay	0.0422126	42212.6	1	2
0.0479764	Src5	0	6	FullDelay	0.0422126	42212.6	1	2
0.048701	Src4	0	7	LastDelay	0.0417728	41772.8	1	2
0.048701	Src4	0	7	FullDelay	0.0417728	41772.8	1	2
0.0487412	Src3	0	9	LastDelay	0.0424013	42401.3	1	2
0.0487412	Src3	0	9	FullDelay	0.0424013	42401.3	1	2
0.0488332	Src5	0	7	LastDelay	0.0427858	42785.8	1	2
0.0488332	Src5	0	7	FullDelay	0.0427858	42785.8	1	2
0.0495578	Src4	0	8	LastDelay	0.0423911	42391.1	1	2
0.0495578	Src4	0	8	FullDelay	0.0423911	42391.1	1	2
0.049598	Src3	0	10	LastDelay	0.042079	42079	1	2
0.049598	Src3	0	10	FullDelay	0.042079	42079	1	2
0.04969	Src5	0	8	LastDelay	0.0419509	41950.9	1	2
0.04969	Src5	0	8	FullDelay	0.0419509	41950.9	1	2
0.050602	Src4	0	9	LastDelay	0.0417728	41772.8	1	2
0.050602	Src4	0	9	FullDelay	0.0417728	41772.8	1	2
0.0507089	Src5	0	9	LastDelay	0.0417728	41772.8	1	2
0.0507089	Src5	0	9	FullDelay	0.0417728	41772.8	1	2
0.050905	Src3	0	11	LastDelay	0.0417728	41772.8	1	2
0.050905	Src3	0	11	FullDelay	0.0417728	41772.8	1	2
0.0516437	Src5	0	10	LastDelay	0.0417728	41772.8	1	2
0.0516437	Src5	0	10	FullDelay	0.0417728	41772.8	1	2
0.0517618	Src3	0	12	LastDelay	0.0421472	42147.2	1	2
0.0517618	Src3	0	12	FullDelay	0.0421472	42147.2	1	2
0.0518734	Src4	0	10	LastDelay	0.0417728	41772.8	1	2
0.0518734	Src4	0	10	FullDelay	0.0417728	41772.8	1	2
0.0525068	Src5	0	11	LastDelay	0.0417728	41772.8	1	2
0.0525068	Src5	0	11	FullDelay	0.0417728	41772.8	1	2
0.0526186	Src3	0	13	LastDelay	0.0426538	42653.8	1	2
0.0526186	Src3	0	13	FullDelay	0.0426538	42653.8	1	2
0.0527302	Src4	0	11	LastDelay	0.0419777	41977.7	1	2
0.0527302	Src4	0	11	FullDelay	0.0419777	41977.7	1	2
0.0534754	Src3	0	14	LastDelay	0.0433647	43364.7	1	2
0.0534754	Src3	0	14	FullDelay	0.0433647	43364.7	1	2
0.0539725	Src5	0	12	LastDelay	0.0417728	41772.8	1	2
0.0539725	Src5	0	12	FullDelay	0.0417728	41772.8	1	2
0.054024	Src4	0	12	LastDelay	0.0417728	41772.8	1	2
0.054024	Src4	0	12	FullDelay	0.0417728	41772.8	1	2
0.0543322	Src3	0	15	LastDelay	0.0437821	43782.1	1	2
0.0543322	Src3	0	15	FullDelay	0.0437821	43782.1	1	2
0.0548808	Src4	0	13	LastDelay	0.042287	42287	1	2
0.0548808	Src4	0	13	FullDelay	0.042287	42287	1	2
0.055189	Src3	0	16	LastDelay	0.0427534	42753.4	1	2
0.055189	Src3	0	16	FullDelay	0.0427534	42753.4	1	2
0.0552809	Src5	0	13	LastDelay	0.0417728	41772.8	1	2
0.0552809	Src5	0	13	FullDelay	0.0417728	41772.8	1	2
0.0557376	Src4	0	14	LastDelay	0.0418038	41803.8	1	2
0.0557376	Src4	0	14	FullDelay	0.0418038	41803.8	1	2
0.0560458	Src3	0	17	LastDelay	0.0435036	43503.6	1	2
0.0560458	Src3	0	17	FullDelay	0.0435036	43503.6	1	2
0.0565944	Src4	0	15	LastDelay	0.0423512	42351.2	1	2
0.0565944	Src4	0	15	FullDelay	0.0423512	42351.2	1	2
0.0567809	Src5	0	14	LastDelay	0.0417728	41772.8	1	2
0.0567809	Src5	0	14	FullDelay	0.0417728	41772.8	1	2
0.0569026	Src3	0	18	LastDelay	0.0424485	42448.5	1	2
0.0569026	Src3	0	18	FullDelay	0.0424485	42448.5	1	2
0.0574512	Src4	0	16	LastDelay	0.0423464	42346.4	1	2
0.0574512	Src4	0	16	FullDelay	0.0423464	42346.4	1	2
0.0577594	Src3	0	19	LastDelay	0.0419365	41936.5	1	2
0.0577594	Src3	0	19	FullDelay	0.0419365	41936.5	1	2
0.05803	Src5	0	15	LastDelay	0.0417728	41772.8	1	2
0.05803	Src5	0	15	FullDelay	0.0417728	41772.8	1	2
0.0586162	Src3	0	20	LastDelay	0.0425512	42551.2	1	2
0.0586162	Src3	0	20	FullDelay	0.0425512	42551.2	1	2
0.058834	Src4	0	17	LastDelay	0.0417728	41772.8	1	2
0.058834	Src4	0	17	FullDelay	0.0417728	41772.8	1	2
0.0588868	Src5	0	16	LastDelay	0.04186	41860	1	2
0.0588868	Src5	0	16	FullDelay	0.04186	41860	1	2
0.059473	Src3	0	21	LastDelay	0.0425033	42503.3	1	2
0.059473	Src3	0	21	FullDelay	0.0425033	42503.3	1	2
0.0597436	Src5	0	17	LastDelay	0.0421423	42142.3	1	2
0.0597436	Src5	0	17	FullDelay	0.0421423	42142.3	1	2
0.0603298	Src3	0	22	LastDelay	0.0420681	42068.1	1	2
0.0603298	Src3	0	22	FullDelay	0.0420681	42068.1	1	2
0.0606004	Src5	0	18	LastDelay	0.0428538	42853.8	1	2
0.0606004	Src5	0	18	FullDelay	0.0428538	42853.8	1	2
0.0606815	Src4	0	18	LastDelay	0.0417728	41772.8	1	2
0.0606815	Src4	0	18	FullDelay	0.0417728	41772.8	1	2
0.0611866	Src3	0	23	LastDelay	0.0426356	42635.6	1	2
0.0611866	Src3	0	23	FullDelay	0.0426356	42635.6	1	2
0.0614572	Src5	0	19	LastDelay	0.0425683	42568.3	1	2
0.0614572	Src5	0	19	FullDelay	0.0425683	42568.3	1	2
0.0620302	Src4	0	19	LastDelay	0.0417728	41772.8	1	2
0.0620302	Src4	0	19	FullDelay	0.0417728	41772.8	1	2
0.0620434	Src3	0	24	LastDelay	0.0431597	43159.7	1	2
0.0620434	Src3	0	24	FullDelay	0.0431597	43159.7	1	2
0.062314	Src5	0	20	LastDelay	0.0429966	42996.6	1	2
