Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0485513	Rtr11	0	1	LastDelay	0.0400018	40001.8	1	2
0.0485513	Rtr11	0	1	FullDelay	0.0400018	40001.8	1	2
0.0518018	Rtr11	0	2	LastDelay	0.0400018	40001.8	1	2
0.0518018	Rtr11	0	2	FullDelay	0.0400018	40001.8	1	2
0.0543913	Rtr11	0	3	LastDelay	0.0400018	40001.8	1	2
0.0543913	Rtr11	0	3	FullDelay	0.0400018	40001.8	1	2
0.0556984	Rtr11	0	4	LastDelay	0.0400018	40001.8	1	2
0.0556984	Rtr11	0	4	FullDelay	0.0400018	40001.8	1	2
0.0722232	Rtr11	0	5	LastDelay	0.0400018	40001.8	1	2
0.0722232	Rtr11	0	5	FullDelay	0.0400018	40001.8	1	2
0.0773863	Src2	0	1	LastDelay	0.0600265	60026.5	1	3
0.0773863	Src2	0	1	FullDelay	0.0600265	60026.5	1	3
0.0793909	Rtr11	0	6	LastDelay	0.0400018	40001.8	1	2
0.0793909	Rtr11	0	6	FullDelay	0.0400018	40001.8	1	2
0.0809823	Rtr11	0	7	LastDelay	0.0400018	40001.8	1	2
0.0809823	Rtr11	0	7	FullDelay	0.0400018	40001.8	1	2
0.0873949	Rtr3	0	1	LastDelay	0.0716189	71618.9	1	4
0.0873949	Rtr3	0	1	FullDelay	0.0716189	71618.9	1	4
0.0881467	Rtr11	0	8	LastDelay	0.0400018	40001.8	1	2
0.0881467	Rtr11	0	8	FullDelay	0.0400018	40001.8	1	2
0.0888733	Src2	0	2	LastDelay	0.0522456	52245.6	1	3
0.0888733	Src2	0	2	FullDelay	0.0522456	52245.6	1	3
0.0918273	Src2	0	3	LastDelay	0.0387744	38774.4	1	3
0.0918273	Src2	0	3	FullDelay	0.0387744	38774.4	1	3
0.0988819	Rtr3	0	2	LastDelay	0.0800353	80035.3	1	4
0.0988819	Rtr3	0	2	FullDelay	0.0800353	80035.3	1	4
0.0995429	Rtr11	0	9	LastDelay	0.0400018	40001.8	1	2
0.0995429	Rtr11	0	9	FullDelay	0.0400018	40001.8	1	2
0.10116	Rtr13	0	1	LastDelay	0.0930786	93078.6	1	5
0.10116	Rtr13	0	1	FullDelay	0.0930786	93078.6	1	5
0.10116	Src3	0	1	LastDelay	0.0881475	88147.5	1	5
0.10116	Src3	0	1	FullDelay	0.0881475	88147.5	1	5
0.10116	Src4	0	1	LastDelay	0.10002	100020	1	5
0.10116	Src4	0	1	FullDelay	0.10002	100020	1	5
0.10116	Rtr19	0	1	LastDelay	0.0946963	94696.3	1	5
0.10116	Rtr19	0	1	FullDelay	0.0946963	94696.3	1	5
0.101175	Rtr1	0	1	LastDelay	0.0893097	89309.7	1	5
0.101175	Rtr1	0	1	FullDelay	0.0893097	89309.7	1	5
0.101836	Rtr3	0	3	LastDelay	0.0800353	80035.3	1	4
0.101836	Rtr3	0	3	FullDelay	0.0800353	80035.3	1	4
0.106451	Rtr13	0	2	LastDelay	0.0888841	88884.1	1	5
0.106451	Rtr13	0	2	FullDelay	0.0888841	88884.1	1	5
0.106451	Src3	0	2	LastDelay	0.0824628	82462.8	1	5
0.106451	Src3	0	2	FullDelay	0.0824628	82462.8	1	5
0.106451	Src4	0	2	LastDelay	0.10002	100020	1	5
0.106451	Src4	0	2	FullDelay	0.10002	100020	1	5
0.106451	Rtr19	0	2	LastDelay	0.0821205	82120.5	1	5
0.106451	Rtr19	0	2	FullDelay	0.0821205	82120.5	1	5
0.106466	Rtr1	0	2	LastDelay	0.089538	89538	1	5
0.106466	Rtr1	0	2	FullDelay	0.089538	89538	1	5
0.108184	Src2	0	4	LastDelay	0.0425022	42502.2	1	3
0.108184	Src2	0	4	FullDelay	0.0425022	42502.2	1	3
0.108551	Rtr13	0	3	LastDelay	0.073756	73756	1	5
0.108551	Rtr13	0	3	FullDelay	0.073756	73756	1	5
0.108551	Src3	0	3	LastDelay	0.0734059	73405.9	1	5
0.108551	Src3	0	3	FullDelay	0.0734059	73405.9	1	5
0.108551	Src4	0	3	LastDelay	0.10002	100020	1	5
0.108551	Src4	0	3	FullDelay	0.10002	100020	1	5
0.108551	Rtr19	0	3	LastDelay	0.0780728	78072.8	1	5
0.108551	Rtr19	0	3	FullDelay	0.0780728	78072.8	1	5
0.108567	Rtr1	0	3	LastDelay	0.0874184	87418.4	1	5
0.108567	Rtr1	0	3	FullDelay	0.0874184	87418.4	1	5
0.111169	Src1	0	1	LastDelay	0.0914628	91462.8	1	6
0.111169	Src1	0	1	FullDelay	0.0914628	91462.8	1	6
0.113589	Rtr13	0	4	LastDelay	0.0752778	75277.8	1	5
0.113589	Rtr13	0	4	FullDelay	0.0752778	75277.8	1	5
0.113589	Src3	0	4	LastDelay	0.0667161	66716.1	1	5
0.113589	Src3	0	4	FullDelay	0.0667161	66716.1	1	5
0.113589	Src4	0	4	LastDelay	0.10002	100020	1	5
0.113589	Src4	0	4	FullDelay	0.10002	100020	1	5
0.113589	Rtr19	0	4	LastDelay	0.075506	75506	1	5
0.113589	Rtr19	0	4	FullDelay	0.075506	75506	1	5
0.113604	Rtr1	0	4	LastDelay	0.0837907	83790.7	1	5
0.113604	Rtr1	0	4	FullDelay	0.0837907	83790.7	1	5
0.114643	Rtr13	0	5	LastDelay	0.072494	72494	1	5
0.114643	Rtr13	0	5	FullDelay	0.072494	72494	1	5
0.114643	Src3	0	5	LastDelay	0.0572662	57266.2	1	5
0.114643	Src3	0	5	FullDelay	0.0572662	57266.2	1	5
0.114643	Src4	0	5	LastDelay	0.10002	100020	1	5
0.114643	Src4	0	5	FullDelay	0.10002	100020	1	5
0.114643	Rtr19	0	5	LastDelay	0.0570876	57087.6	1	5
0.114643	Rtr19	0	5	FullDelay	0.0570876	57087.6	1	5
0.116459	Src1	0	2	LastDelay	0.0899296	89929.6	1	6
0.116459	Src1	0	2	FullDelay	0.0899296	89929.6	1	6
0.117419	Rtr11	0	10	LastDelay	0.0400018	40001.8	1	2
0.117419	Rtr11	0	10	FullDelay	0.0400018	40001.8	1	2
0.118192	Rtr3	0	4	LastDelay	0.0800353	80035.3	1	4
0.118192	Rtr3	0	4	FullDelay	0.0800353	80035.3	1	4
0.11856	Src1	0	3	LastDelay	0.0894545	89454.5	1	6
0.11856	Src1	0	3	FullDelay	0.0894545	89454.5	1	6
0.120965	Rtr13	0	6	LastDelay	0.0712937	71293.7	1	5
0.120965	Rtr13	0	6	FullDelay	0.0712937	71293.7	1	5
0.120965	Src3	0	6	LastDelay	0.0543132	54313.2	1	5
0.120965	Src3	0	6	FullDelay	0.0543132	54313.2	1	5
0.120965	Src4	0	6	LastDelay	0.10002	100020	1	5
0.120965	Src4	0	6	FullDelay	0.10002	100020	1	5
0.120965	Rtr19	0	6	LastDelay	0.0491291	49129.1	1	5
0.120965	Rtr19	0	6	FullDelay	0.0491291	49129.1	1	5
0.121177	Rtr17	0	1	LastDelay	0.119425	119425	1	7
0.121177	Rtr17	0	1	FullDelay	0.119425	119425	1	7
0.123495	Src2	0	5	LastDelay	0.0544535	54453.5	1	3
0.123495	Src2	0	5	FullDelay	0.0544535	54453.5	1	3
0.123597	Src1	0	4	LastDelay	0.0928111	92811.1	1	6
0.123597	Src1	0	4	FullDelay	0.0928111	92811.1	1	6
0.124651	Src1	0	5	LastDelay	0.077157	77157	1	6
0.124651	Src1	0	5	FullDelay	0.077157	77157	1	6
0.126468	Rtr17	0	2	LastDelay	0.110361	110361	1	7
0.126468	Rtr17	0	2	FullDelay	0.110361	110361	1	7
0.127665	Src2	0	6	LastDelay	0.0386619	38661.9	1	3
0.127665	Src2	0	6	FullDelay	0.0386619	38661.9	1	3
0.128569	Rtr17	0	3	LastDelay	0.102901	102901	1	7
0.128569	Rtr17	0	3	FullDelay	0.102901	102901	1	7
0.130501	Src2	0	7	LastDelay	0.0261268	26126.8	1	3
0.130501	Src2	0	7	FullDelay	0.0261268	26126.8	1	3
0.130783	Rtr1	0	6	LastDelay	0.0800353	80035.3	1	5
0.130783	Rtr1	0	6	FullDelay	0.0800353	80035.3	1	5
0.130973	Src1	0	6	LastDelay	0.0806221	80622.1	1	6
0.130973	Src1	0	6	FullDelay	0.0806221	80622.1	1	6
0.133503	Rtr3	0	5	LastDelay	0.0800353	80035.3	1	4
0.133503	Rtr3	0	5	FullDelay	0.0800353	80035.3	1	4
0.133606	Rtr17	0	4	LastDelay	0.107655	107655	1	7
0.133606	Rtr17	0	4	FullDelay	0.107655	107655	1	7
0.13393	Rtr11	0	11	LastDelay	0.0400018	40001.8	1	2
0.13393	Rtr11	0	11	FullDelay	0.0400018	40001.8	1	2
0.13466	Rtr17	0	5	LastDelay	0.0943822	94382.2	1	7
0.13466	Rtr17	0	5	FullDelay	0.0943822	94382.2	1	7
0.136312	Rtr13	0	7	LastDelay	0.0782752	78275.2	1	5
0.136312	Rtr13	0	7	FullDelay	0.0782752	78275.2	1	5
0.136312	Src3	0	7	LastDelay	0.0515864	51586.4	1	5
0.136312	Src3	0	7	FullDelay	0.0515864	51586.4	1	5
0.136312	Src4	0	7	LastDelay	0.10002	100020	1	5
0.136312	Src4	0	7	FullDelay	0.10002	100020	1	5
0.136312	Rtr19	0	7	LastDelay	0.0562441	56244.1	1	5
0.136312	Rtr19	0	7	FullDelay	0.0562441	56244.1	1	5
0.137673	Rtr3	0	6	LastDelay	0.0800353	80035.3	1	4
0.137673	Rtr3	0	6	FullDelay	0.0800353	80035.3	1	4
0.140509	Rtr3	0	7	LastDelay	0.0800353	80035.3	1	4
0.140509	Rtr3	0	7	FullDelay	0.0800353	80035.3	1	4
0.140982	Rtr17	0	6	LastDelay	0.0931058	93105.8	1	7
0.140982	Rtr17	0	6	FullDelay	0.0931058	93105.8	1	7
0.144835	Rtr1	0	5	LastDelay	0.100036	100036	1	5
0.144835	Rtr1	0	5	FullDelay	0.100036	100036	1	5
0.14632	Src1	0	7	LastDelay	0.0870227	87022.7	1	6
0.14632	Src1	0	7	FullDelay	0.0870227	87022.7	1	6
0.147418	Src2	0	8	LastDelay	0.040304	40304	1	3
0.147418	Src2	0	8	FullDelay	0.040304	40304	1	3
0.152323	Rtr11	0	12	LastDelay	0.0400018	40001.8	1	2
0.152323	Rtr11	0	12	FullDelay	0.0400018	40001.8	1	2
0.15379	Rtr13	0	8	LastDelay	0.0895421	89542.1	1	5
0.15379	Rtr13	0	8	FullDelay	0.0895421	89542.1	1	5
0.15379	Src3	0	8	LastDelay	0.0600594	60059.4	1	5
0.15379	Src3	0	8	FullDelay	0.0600594	60059.4	1	5
0.15379	Src4	0	8	LastDelay	0.10002	100020	1	5
0.15379	Src4	0	8	FullDelay	0.10002	100020	1	5
0.15379	Rtr19	0	8	LastDelay	0.0736517	73651.7	1	5
0.15379	Rtr19	0	8	FullDelay	0.0736517	73651.7	1	5
0.153805	Rtr1	0	8	LastDelay	0.0821382	82138.2	1	5
0.153805	Rtr1	0	8	FullDelay	0.0821382	82138.2	1	5
