Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	Rtr1	1	internal://	InInterests	0	0	0	0
1	Rtr1	1	internal://	OutInterests	0	0	0	0
1	Rtr1	1	internal://	InData	0	0	0	0
1	Rtr1	1	internal://	OutData	0	0	0	0
1	Rtr1	1	internal://	InNacks	0	0	0	0
1	Rtr1	1	internal://	OutNacks	0	0	0	0
1	Rtr1	1	internal://	InSatisfiedInterests	0	0	0	0
1	Rtr1	1	internal://	InTimedOutInterests	0	0	0	0
1	Rtr1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	Rtr1	1	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr1	2	internal://	InInterests	0	0	0	0
1	Rtr1	2	internal://	OutInterests	0	0	0	0
1	Rtr1	2	internal://	InData	0	0	0	0
1	Rtr1	2	internal://	OutData	0	0	0	0
1	Rtr1	2	internal://	InNacks	0	0	0	0
1	Rtr1	2	internal://	OutNacks	0	0	0	0
1	Rtr1	2	internal://	InSatisfiedInterests	1.6	0	2	0
1	Rtr1	2	internal://	InTimedOutInterests	0	0	0	0
1	Rtr1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	Rtr1	2	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutInterests	80.8	2.05156	101	2.56445
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InData	73.6	75.9	92	94.875
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	73.6	0	92	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	Rtr1	258	appFace://	InInterests	80.8	2.05156	101	2.56445
1	Rtr1	258	appFace://	OutInterests	0	0	0	0
1	Rtr1	258	appFace://	InData	0	0	0	0
1	Rtr1	258	appFace://	OutData	73.6	75.9	92	94.875
1	Rtr1	258	appFace://	InNacks	0	0	0	0
1	Rtr1	258	appFace://	OutNacks	0	0	0	0
1	Rtr1	258	appFace://	InSatisfiedInterests	73.6	0	92	0
1	Rtr1	258	appFace://	InTimedOutInterests	0	0	0	0
1	Rtr1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	Rtr1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	Rtr1	-1	all	SatisfiedInterests	75.2	0	94	0
1	Rtr1	-1	all	TimedOutInterests	0	0	0	0
1	Rtr2	1	internal://	InInterests	0	0	0	0
1	Rtr2	1	internal://	OutInterests	0	0	0	0
1	Rtr2	1	internal://	InData	0	0	0	0
1	Rtr2	1	internal://	OutData	0	0	0	0
1	Rtr2	1	internal://	InNacks	0	0	0	0
1	Rtr2	1	internal://	OutNacks	0	0	0	0
1	Rtr2	1	internal://	InSatisfiedInterests	0	0	0	0
1	Rtr2	1	internal://	InTimedOutInterests	0	0	0	0
1	Rtr2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	Rtr2	1	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr2	2	internal://	InInterests	0	0	0	0
1	Rtr2	2	internal://	OutInterests	0	0	0	0
